-A0MAC464119.0N1061320.0W  897.0Subarray A0 LASA
KAA  C204638.0S1165132.0E   15.0Karratha
KAAO C343227.0N 690234.1E 1920.0Kabul
KAAZ  364927.0S1744213.0E   65.0Kauri Point
KAB   520300.0N1063914.0E  468.0Kabansk
KABR  580752.2N1545809.0W  884.0Katmai Barrier Ridge
KAC   572959.6N  51753.5W  330.0Achnashellach
KACS F                          (will be deleted)
KACSTF                          King Abdulazziz City for Science and Technology
KAD   171827.0N 741100.0E  582.0Karad
KADD C360343.5N1363253.5E  380.0Katsuyama
KAE   191721.0N1550757.0W   37.0Kaena
KAF   620646.0N 261822.0E  205.0Kangasniemi
KAG   313424.0N1303312.0E    5.0Kagoshima (Kagosima)
KAGJ C311112.0N1305318.0E  200.0Kagoshima 2 (Tashiro)
KAH   372700.0N 592858.8E  257.0Kaushut
KAHC  583856.4N1550021.6W 1250.0Katmai Hardscrabble Creek
KAHG  582938.4N1543246.8W  923.0Katmai Hook Glacier
KAI  C423133.0S1712431.0E   82.0Kaimata
KAIC  582906.0N1550245.0W  734.0Katmai Ikagluik Creek
KAIM  595536.6N1442458.8W  311.0Kayak Island
KAJ   343000.0N1354800.0E  120.0Kashiwara
KAJD R360255.2N1363141.3E  300.0Katsuyama
KAK   361354.0N1401136.0E   27.0Kakioka
KAKA  124200.0S1322400.0E  100.0Kakadu
KAKJ  361218.0N1401024.0E   15.0Kakioka Outpost
KAL  C463143.0N 185835.0E   93.0Kalocsa
KALG  293022.2N 784513.2E    0.0Kalgarh
KALI   70623.0S1063932.0E  810.0Kaliastana
KALP  114040.8N1222016.8E   15.0Kalibo
KAM  C345124.0N1362754.0E   71.0Kameyama
KAMOR 471722.6N  92915.0E 1730.0Kamor
KAMS  201833.1N 443447.3E  750.0Al Kham\=as\=\i n
KAMT  392208.4N 334246.8E 1161.0Kaman
KAN  C363248.0N1363854.0E   28.0Kanazawa
KAN2  363130.0N1364624.0E  530.0Kanazawa 2
KANH  204135.9N1561728.7W 2745.0Kanahau
KANJ R363512.0N1363812.0E    0.0Kanazawa
KANM R335947.8S1500400.5E 1206.0Kanangra Walls
KANO C531717.9N1323703.0W  221.0Kano Inlet
KANT R352258.8N 335248.0E    0.0Kantara
KAO  C492654.0N 822906.0W  198.0Kapuskasing
KAP  C353303.0N 271028.8E  250.0K\'arpathos
KAPH  583548.6N1542048.6W  907.0Katmai Pasha
KAPI   50051.1S1194506.1E   30.0Kappang
KAPO  492701.4N 823028.4W  210.0Kapuskasing
KAQ  U535900.0N 733123.0W  472.0La Grande-4
KAR   245600.0N 670836.0E   34.0Karachi
KARJ R310712.0N 353910.8E  124.0
KARP  353249.8N 270940.2E  528.0K\'arpathos
KARR  582952.2N1544212.0W  610.0Katmai Rainbow River
KARS  403644.4N 430533.6E 1450.0Kars
KART C411011.0N 341820.0E 1946.0Karci
KAS   412218.0N 334600.0E  850.0Kastamonu
KAT   390140.8N 561612.0E  200.0Gyzylarbat (Kizyl-Arvat)
KATZ  385835.0S1754140.4E 1280.0Kakaramea
KAU   223404.4N1201828.9E    2.3Kao-hsiung (Kaushiong, Takao)
KAV  C 23424.0S1504900.0E    4.0Kavieng
KAVZ  390555.0S1753845.0E    0.0Karewarewa
KAWH  582301.2N1544757.0W  777.0Katmai
KAY   415345.0N 214206.0E  248.0Katlanovo
KAZ   362024.0N1383306.0E  999.0Karuizawa
KAZK F                          Kazakhstan Seismological Institute
KBA   470442.2N 132040.9E 1721.0Koelnbreinsperre (Koelnbrien Barrage)
KBB   502305.0N1260139.0W 1310.0Kelsey Bay
KBBA   13108.4S 291958.8E    0.0Kibumba
KBBM  401149.2N1235100.0W  576.0Bear Butte
KBC    43910.8N  92446.8E  375.0Kumba
KBD   291032.0N 474136.0E  124.0Al Kabd
KBE  C344404.3N1351040.2E  440.0Kobe
KBF   393024.4N1201242.4W 2079.0Kyburz Flat
KBG   561518.0N1624218.0E   30.0Krutoberegovo
KBH   363918.0N1393143.0E  700.0Kobugahara
KBI   433526.4N1122236.0W 1698.0Kettle Butte
KBK   423923.0N 745652.1E 1760.0Karagaybulak
KBL   343227.0N 690235.4E 1920.0Kabul
KBN   403725.0N 204714.6E  800.0Korca
KBNM  395333.6N1231138.4W 1363.0Bluenose Ridge
KBO   421244.4N1241333.6W 1008.0Bosley Butte
KBQ  R535840.0N 731706.0W  472.0La Grande-4
KBR   140100.0N 993200.0E   28.0Kanchanaburi
KBRM  404347.4N1235720.4W  853.0Barry Ridge
KBRS  254721.5N 391544.3E  780.0Khaybar
KBS   785532.2N 115630.1E   74.0Kingsbay (Kongsfjorden)
KBSM  395504.2N1233540.8W 1134.0Bell Springs
KBT   693537.0N1401056.0W   15.0Komakuk Beach
KBTR  561229.0N1624908.0E  200.0Krutoberegovo 1
KBY  C330224.6N1154203.6W  -51.0Kobayashi Ranch
KBZ   434343.0N 425351.0E    0.0Khabaz
KBZS  455624.0N 152620.4E  217.0Brezje pri Senusah
KC-                             (Alternate Abbreviation for KC-MO)
KC-MOC392121.0N 944017.0W  274.0Kansas City
KCA   492052.8S 701304.8E    0.0Cave
KCC   371925.1N1191907.3W  888.1Kaiser Creek
KCCO R     0.0N      0.0E    0.0Kit Carson
KCH  R491438.4S 700842.0E    0.0Monts Chateau
KCHT  370636.0N  95624.0E  565.0Kechabta
KCI   434007.8N1113951.6W 1902.0Kelly Canyon
KCM  C 52900.0S1482300.0E   15.0Kilenge Mission
KCN  R552003.6N1313757.0W   20.0Ketchikan
KCP    70032.4N1250524.0E  598.0Kidapawan
KCPM  394110.7N1233456.7W 1261.0Cahto Peak
KCQ  R534958.0N 730755.0W  457.0La Grande-4
KCRM  402534.8N1234906.6W  896.0Chalk Rock
KCSM  403215.6N1233045.6W 1640.0Cold Springs
KCT   401556.0N 282124.0E  451.0Karacabey
KCTM  402833.0N1242010.8W  409.0Capetown
KCY   335949.1N1340832.1E  260.0Kuchiyama
KDA  C164930.0S1453748.0E  365.0Kuranda
KDAK  574658.1N1523500.6W   64.0Kodiak Island
KDB    92818.1S1470935.2E   40.0Konedobu
KDC   574452.2N1522930.0W   13.0Kodiak
KDE   411720.0N 312530.0E  290.0Karadeniz Ereglisi
KDG  C125533.0N 121917.0W    0.0Kedougou
KDK  C413700.0N 695800.0E    0.0Khodzhikent
KDM    65457.6N1164958.8E    3.6Kudat
KDR   390900.0N 460600.0E 2155.0K'ajaran (Kadzharan)
KDS   123407.5N 121240.2W  110.0Kedougou
KDT  C345505.7N1344245.9E  200.0Kodera
KDUT  414316.8N1120145.0W 1829.0Kidman Hollow
KDV  R185755.8S1782048.0E  390.0Kandavu Island
KDZ   413900.0N 252500.1E  409.0Kurdzhali
KE-                             (Alternate Abbreviation for KE-WA)
KE-WAC460824.0N1191639.0W  396.0Kennewick
KEA  C191830.0N1550936.0W  201.0Kealakomo
KEB   384752.0N 384340.0E  739.0Keban
KEBM  425220.0N1242003.3W  818.0Edson Butte
KEC   465444.0N 194154.0E  122.0Kecskemet
KED  C125533.0N 121917.0W    0.0Kedougou
KEDI   80105.0S1160445.0E  560.0Kedomdong
KEE   333818.0N1163911.4W 1366.0Keen Camp Maintenance Station
KEEL R453300.7N1225342.4W   67.0Keeler
KEF   621002.0N 245213.0E  215.0Keuruu
KEG   295539.0N 314945.1E  460.0Kottamia
KEK   394246.8N 194755.2E  280.0K\'erkira
KEL  C 80600.0S1125400.0E    0.0Kelud
KELB  483939.9N1233412.3W   53.0Kelsey
KELC  355857.0S1365440.0E  100.0Kelly Hill Caves
KELI   81300.0S1142927.0E  591.0Kelakatan
KEN  C603700.0N1510912.0W   10.0Kenai
KENC  110639.0N 740251.6W 2560.0Cerro Kenedy
KEP  C541648.0S 362848.0W    0.0King Edward Point
KER   342108.0N 470621.0E 1310.0Bakhtaran (Kermanshah)
KERI C305924.0N 342924.0E  360.0Keren
KES                             (Alternate Abbreviation for HAD)
KET  C 41959.1S1520210.7E   17.0Keravat
KETZ  390602.3S1753906.4E 1208.0Ketetahi
KEV   694519.0N 270024.0E   81.0Kevo
KEV1 C694521.0N 270045.0E   97.0Kevo
KEW  C512806.0N   1847.0W    5.0Kew
KEY  C610300.0N1383006.0W  785.0Kluane
KEY2 R525244.4N  10437.2W   76.0Keyworth
KFA  C463854.0N 141940.0E  450.0Klagenfurt
KFC  C375718.0N1223310.0W    6.0Kentfield
KFH   192515.6N1552508.4W 1579.0Kaoiki Faults
KFNJ  315142.0N 354037.0E  -90.0Kafrein
KFO  C421600.0N1214442.0W 1439.0Klamath Falls
KFPM  393821.0N1232526.4W  796.0Farley Peak
KFRA  351245.0N 364758.5E  650.0Kafr R\=a`
KFTR  384948.0N 700900.0E 1800.0Kaftarguzar
KFU   354424.0N1383412.0E    0.0Kofu
KG-                             (Alternate Abbreviation for KG-AZ)
KG-ASC353830.0N1135428.0W 1067.0Kingman
KG-AZC353830.0N1135428.0W 1067.0Kingman
KGI  C472918.0N1160454.0W 1400.0Kellogg
KGJ  R392318.0N1413354.0E  376.0Kitakami
KGL   455418.0N 281203.6E   48.0Cahul (Kagul)
KGM    20056.4N1031908.4E  103.0Kluang
KGMK R350333.5N1354556.7E  180.0Kamigamo
KGMM  404531.8N1234027.6W 1615.0Grouse Mountain
KGN  R354506.5N1375818.8E  629.0Komagane
KGNI R264521.0N 945018.0E  500.0Kongan
KGNO  441337.2N 762934.8W   89.0Kingston
KGR  C631009.0N1620400.0W  320.0Kogok River
KGS  F                          Kansas Geological Survey, Lawrence
KGSC R     0.0N      0.0E    0.0Kilohana Girl Scout Camp
KGT   402706.0N 271812.0E  185.0Karabiga
KGW   345145.4N1380119.9E   69.0Kakegawa
KH-                             (Alternate Abbreviation for KH-AZ)
KH-AZC342900.0N1110203.0W 2286.0Kohls Ranch
KHA   361249.0S1480744.0E  435.0Khancoban
KHAT  391012.0N 705248.0E 1800.0Khait
KHB  R295540.8N 305830.0E  265.0
KHBM  403936.6N1231306.6W 1885.0Hayfork Bally
KHC   490751.4N 133441.6E  695.0Ka\v spersk\'e Hory
KHE  C803700.0N 580300.0E   21.6Kheis
KHF   325858.8N  54225.2W 1060.0Khenifra
KHG   623900.0N1353300.0E  105.0Khandyga
KHI   340836.0N 583830.0E 1600.0Kakhk
KHJ  R351527.4N1372431.7E  343.0Kushihara
KHK   351038.8N1353944.3E  260.0Keihoku
KHKI   82151.6S1153629.4E    0.0Kahang-Kahang
KHL   381923.5N 293123.5E  940.0Karahall\i
KHM   253947.0N 940434.0E 1630.0Kohima
KHMM  405228.8N1234353.4W 1509.0Horse Mountain
KHO   372900.0N 713200.0E 2199.0Khorugh (Khorog)
KHR  C384000.0N 684700.0E    0.0Khorongon
KHS   425700.0N 421048.0E  640.0Khaishi
KHSA R     0.0N      0.0E    0.0Ketchikan School
KHT   144705.4N 983533.0E  173.3Khao Laem Dam
KHU   191454.0N1553706.0W 1939.0Kahuku
KHUM  414048.0N 695700.0E  850.0Khumson (Khumsan)
KHZ   422504.8S1733225.2E   70.0Kahutara
KIA   340648.0N 724248.0E  497.0Kiara Terrace
KIAM   70644.5S1435520.5E  307.0Kaiam
KIB   323433.6N  60220.4W  935.0El Ksiba
KIBK   22024.0S 380245.6E  775.0Kibwezi
KIC    62138.0N  44428.0W  176.0Kosan Boka
KICM  515508.2N1771143.1W  183.0Kanaga Island Cape Miga
KIE  C313624.6N1031144.4W  828.0Kermit
KIEV  504140.0N 291229.9E  123.6Kiev
KIF  R690015.8N 204806.5E    0.0Kilpisj\"arvi
KIH   193033.6N1554554.0W 1841.0Kanekii
KII   540209.6N1592656.4E  900.0Karymskiy
KIJ  C 80400.0S1141400.0E    0.0Kawah Idjen
KIK  C144846.8N 912437.8W 3200.0Kika Raxquin
KIKV  515243.8N1771013.4W  411.0Kanaga Island Kanaga Volcano
KIL     1200.0N 300028.8E 1372.0Kilembe
KIM  C284506.0S 244648.0E 1321.0Kimberley
KIMB R473430.9N1221805.9W  100.0Kimball Elementary School
KIMD  514541.8N1771405.6W  183.0Kanaga Island MID Benchmark
KIMR  473011.0N1224602.0W  100.0Kitsap County Moderate Risk Waste Facility
KIN  C175825.4N 764706.2W   32.0Kingston
KINC  515553.0N1770739.4W  198.0Kanaga Island North Cape
KING   95749.8N 125206.6W  410.0Kindia
KINR  474506.0N1223835.0W  100.0Kitsap County North Road Shed
KIP   212524.0N1580050.0W   73.0Kipapa
KIPH C110310.8N1141702.4E    2.0Kalayaan
KIPM  394831.2N1232849.8W 1367.0Iron Peak
KIR   675024.0N 202500.0E  390.0Kiruna
KIRH  515358.6N1770536.7W  309.0Kanaga Island Round Head
KIRV R583506.0N 492457.0E    0.0Kirov
KIS   465952.8N 284904.8E  185.0Chi\c sin\u au (Kishinev)
KISE R341319.3N1351800.0E   75.0Kishinomiya
KISK R325333.4N1310400.7E 1105.0Kishima-dake
KISR F                          Kuwait Institute for Scientific Research
KIT  C313237.0N1025255.0W  795.0Kermit
KITD R313557.0N1303846.0E  450.0Kitadake
KITH R423125.9N1404837.4E  120.0Kitausu
KITP  474030.0N1223747.0W  100.0Kitsap County Wastewater Treatment Plant
KIV   435719.1N 424110.7E 1054.0Kislovodsk
KIV0  435720.5N 424142.7E 1196.0Kislovodsk Array Site 0
KIV1  435725.2N 424140.6E 1196.0Kislovodsk Array Site 1
KIV2  435719.4N 424149.2E 1196.0Kislovodsk Array Site 2
KIV3  435716.9N 424138.0E 1196.0Kislovodsk Array Site 3
KIW   405150.0S1745442.0E  320.0Kapiti Island
KIWB  515111.0N1770902.9W  244.0Kanaga Island Westway Bight
KIY  C350900.0N1401100.0E  290.0Kiyosumi
KIZ   475722.2N  75505.4E  444.0Kirchzarten
KIZT  385248.0N 315248.0E 1202.0K\i z\i l\c cal
KJA  C154423.4N 914657.6W 2280.0Kiajanaja
KJF  C641157.0N 274253.0E  160.0Kajaani
KJJM  401451.6N1241824.6W  725.0Johnny Jack Ridge
KJL   580314.4N1553423.4W    0.0Kejulik
KJN   640507.0N 274243.0E  250.0Kajaani
KJU  R     0.0N      0.0E    0.0
KKB   415200.1N 230459.9E  434.0Krupnik
KKD  C 34200.0S1025600.0E    0.0Korintji-Kaba-Dempo
KKG  C145830.0N 920209.6W  960.0Kukul
KKGU R363552.5N1393730.2E  280.0Kamikuga
KKH   193924.0N1560107.0W   14.0Kailua Kona
KKI    43518.0S1455715.0E  460.0Karkar Island
KKJ   414644.1N1401032.4E   70.0Kaminokuni
KKKK F                          (keyword for telegraphic transmission)
KKL  R491948.0N 752248.0E    0.0Karkaralinsk
KKM    60239.6N1161252.8E  830.0Kota Kinabalu
KKN   274724.0N 851648.0E 1920.0Kakani
KKPM  400845.0N1232006.0W 1244.0Kettenpom Peak
KKR   295741.4N 764914.4E  257.0Kurukshetra
KKS   420432.2N 202440.7E  300.0Kukes
KKT  C313721.6N1031719.8W    0.0Kermit
KKU   195323.4N1552034.8W 1863.0Keanakolu
KKW   335355.5N1352630.6E  260.0Kainokawa
KKY  C422512.0S1734131.0E  101.0Kaikoura West
KKZ  C422519.0S1734147.0E  109.0Kaikoura
KLB   313532.4S1174536.0E  300.0Kellerberrin
KLBR  313529.3S1174516.6E  320.0Kellerberrin
KLC  C480841.0N 800145.0W  310.0Kirkland Lake
KLCH  192421.0N1550404.8W  659.0Kalalua Cone
KLD   383148.0N 692848.0E    0.0Kalaidasht
KLG   304701.2S1212728.8E  360.0Kalgoorlie
KLGA C304303.0S1212617.9E  390.0Kalgoorlie
KLH  C191624.0N1552642.0W  610.0Kapapala Ranch
KLI    45147.4S1045124.0E    0.0Kotabumi
KLJ   403751.0N1112415.6W 2008.0Keetly
KLK  C193119.2N1555513.2W  505.0Kealakekua
KLKU  423224.0N 631800.0E  361.0Kulkuduk
KLL   503846.0N  61840.0E  400.0Kalltalsperre
KLM    30609.0N1013840.8E   46.0Kuala Lumpur
KLN   465036.0N 662218.1W  411.0McKendrick Lake
KLO  C481221.6N 795942.0W  350.0Kirkland Lake
KLP   313200.0N 781500.0E 2724.0Kalpa
KLR   491348.0N1314500.0E  298.0Kul'dur
KLS  C560954.0N 153530.0E   11.0Karlskrona
KLT   403836.5N 300602.1E 1601.0Keltepe
KLU   612934.2N1455512.6W 1012.0Klutina
KLY   561846.8N1603907.2E  100.0Klyuchi
KM-                             (Alternate Abbreviation for KM-CL)
KM-CLC345252.0N1171524.0W  853.0Kramer
KM2  C320533.0N1030418.6W  932.0Kermit
KM3  C314039.6N1031233.0W    0.0Kermit
KM5  C314954.0N1030154.0W  874.0Kermit
KM6  C315857.0N1025147.4W 1030.0Kermit
KM9  C314453.4N1025122.8W  888.0Kermit
KMA   421543.0N 201434.0E    0.0Kam
KMB  C 52900.0S1500600.0E   23.0Kimbe
KMBL  312200.8S1215255.6E  210.0Kambalda
KMBO   10736.5S 371508.3E 1940.0Kilima Mbogo
KMC    42309.6N  93440.8E   85.0Kompina
KMD  U361848.6N1362929.6E   70.0Komatsu
KME  C313441.4N1030712.0W  816.0Kermit
KMF   381236.0N1404206.0E  180.0Kamafusa
KMG   360848.0N1392306.0E   31.0Kumagaya
KMGE  362512.0N1383244.0E 1557.0Kuromamegawa
KMH  C192328.2N1550658.8W  750.0Puu Kamoamoa
KMI   250724.0N1024424.0E 1940.0Kunming
KMJ   262010.0N1264822.0E    5.0Kume-shima (Kumejima)
KMJD R362152.3N1363020.6E   70.0Komatsu
KMK  C351900.0N1393300.0E    0.0Kamakura
KMKR R420752.0N 470556.0E 1950.0Kumukh
KML  C200154.0N1554200.0W  740.0Kamuela
KMM  C350200.0N1354200.0E  190.0Kamigamo
KMN   335803.8N1360329.6E  300.0Kumano
KMNK R334711.4N1341820.7E  280.0Kaminaka
KMNR  554521.6N1601413.2E 1100.0Kamenistaya
KMO   505313.0N1111202.0E  480.0Kumora
KMOR  453807.8N1232922.2W  975.0Kings Mountain
KMP   613051.5N1450147.3W 1103.0Kimball Pass
KMPD  483346.8N 262736.0E  121.0Kamenets-Podol'skiy
KMPM  402502.4N1240712.6W  957.0Mount Pierce
KMR   480323.4N 140754.9E  379.0Kremsmuenster
KMS  C404021.7N 293528.0E  280.0Karam\"ursel
KMSA  202215.6N 442942.0E  715.0Al Kham\=as\=\i n
KMSN R     0.0N      0.0E    0.0
KMST  373126.0N 365937.0E  670.0
KMT  C341544.4N1350730.5E   20.0Kinomoto
KMTA C180957.6N 425154.0E 2000.0Kham\=is Mushay\c t
KMTI  300615.8N 344330.4E  473.0Karmit
KMU   421419.0N1425802.0E  185.0Kamikineusu
KMV  C371230.0N 820133.0W  500.0Keen Mountain
KMY   591243.2N  51449.2E   58.0Karm\o y
KMYC R     0.0N      0.0E    0.0Kunming
KMYN C345201.2N1362100.0E  240.0Kameyama
KMZ   132719.8S 255001.5E 1223.0Kasempa
KN-                             (Alternate Abbreviation for KN-UT)
KN-UTC370122.0N1124939.0W 1737.0Kanab
KNA   154500.0S1284600.0E   60.0Kununurra
KNB   370059.8N1124920.7W 1715.0Kanab
KND  C410309.7N 300938.9E   50.0Kand\i ra
KNDN  632509.4N1091204.7W  421.0Kennady Lake
KNE  F                          (magnitude source code for KNET)
KNET F                          Kyrgyz Broadband Seismic Network
KNG  C545000.0N 203000.0E   33.0Kaliningrad (Konigsberg)
KNH   192006.0N1551724.0W  924.0Kipuka Nene
KNHH  192246.0N1551009.5W  954.0Kane Nui o Hamo
KNI  C172348.0N 734500.0E  630.0Koyna Nagar
KNIM  602055.2N1474409.6W  434.0Knight Island
KNJ                             (Alternate Abbreviation for KMT)
KNJD C353417.8N1361704.5E  300.0Kanaihara
KNK   612445.0N1482720.4W  595.0Knik Glacier
KNM   242500.0N1182600.0E   13.7Kinmen
KNMB R242736.0N1182324.0E    0.0
KNN    12848.0S 290401.2E    0.0Kunene
KNO  C352900.0N1183142.0W 1090.0Knox Ranch
KNP   434535.7N1434244.6E  190.0Kunneppu
KNR   381500.0N 693148.0E    0.0Kangurt
KNT   410943.0N 225353.0E  380.0Kendrikon
KNTN R     0.0N      0.0E    0.0Kanton
KNW  C193048.0N1555506.0W  495.0Konawaena
KNY   372401.4N1393329.5E  390.0Kanayama
KNZ   390117.0S1774025.0E    0.0Kokohu
KOA  C 61326.9S1553708.3E   65.0Kobuan
KOB   344118.0N1351048.0E   58.0Kobe
KOC   333312.0N1333212.0E   -1.0Kochi
KOD   101400.0N 772800.0E 2345.0Kodaikanal
KOE   502531.0N  74353.8E    0.0Koppel
KOF   353954.0N1383330.0E  272.0K\=ofu (Kohu)
KOG  R 51225.2N 524355.2W   10.0Kourou
KOGH   60510.0N   1438.0W  483.0Koforidua
KOH   200741.4N1554646.2W 1166.0Kohala
KOI   265900.0N 953000.0E  785.0Khonsa
KOID R313514.0N1303646.0E   40.0Koike
KOK   531731.0N1583810.0E 1050.0Koryaka
KOL   412527.5N 354746.0E  145.0Kolay
KOLN  274612.0N 833600.0E 1830.0Koldanda
KOM  C353900.0N1394546.0E   38.0Komaba
KOMA  390600.0N 702400.0E    0.0Komarou
KOMM  411643.8N1232707.8W 1181.0Orleans Mountain
KOMS  385400.0N 695700.0E    0.0Komsomolabad
KOMT R394648.0N1404612.0E  680.0Akitakoma
KON  C593856.7N  93553.6E  216.0Kongsberg
KONH R423314.6N1404900.5E  230.0Konpirayama
KONO  593856.7N  93553.6E  216.0Kongsberg
KONT  375643.2N 322137.8E  550.0Konya--Tatoy
KOOC  333933.0N 364548.0E 1120.0Ab\=u Kooc
KOR  C 72006.0N1342906.0E   30.0Koror
KORS F                          Kola Regional Seismological Center, Russia
KOS  C440600.0N1455300.0E    0.0Kosmodemyansk
KOSW  462740.8N1221125.8W  828.0Kosmos
KOT   295548.0N 314948.0E    0.0Kottamia
KOTI  321827.6N 771200.0E 2527.0Kothi
KOU   203343.0S1641653.0E   17.0Koumac
KOUM R374214.8N 265015.7E  340.0Koumaradei
KOW   351718.0S1491754.0E  792.0Kowen Forrest
KOWA  142948.0N  40100.0W  280.0Kowa
KOWM R354718.6S1443112.4E  102.0Kowarra
KOY  C352100.0N1385900.0E    0.0Koyama
KOZ   560328.8N1595223.5E  450.0Kozyr (Kozyrevsk)
KOZ*                            (Alternate Abbreviation for KOZR)
KOZR C560357.6N1595345.6E  450.0Kozyr (Kozyrevsk)
KP-NVC375351.0N1162733.0W 2134.0Kawich Peak
KPA   211124.0N1565905.4W    4.0Kalaupapa
KPAM R305244.8S1502924.7E  264.0Keepit Dam Accelerograph
KPB  R493112.0S 695403.6E    0.0Port Bizet
KPC   494214.0N1122244.0E  953.0Khapcheranga
KPD  R493101.2S 700925.2E    0.0Port Douzieme
KPE   642739.0N1465344.4W  204.0Price
KPH  C213434.1N1581631.6W  110.0Kaena Point
KPHO R     0.0N      0.0E    0.0Kapoho
KPJ   421233.1N 222142.1E  700.0Monastery St. Joachim Osogovski
KPK   393500.0N1211819.2W  899.0Kanaka Peak
KPL   572020.8N  53909.7W   36.0Plockton
KPN   100428.4S1481053.1E   20.0Kupiano
KPO   193001.2N1545030.6W  134.0Kapoho
KPPM  402045.6N1232143.8W 1762.0Pickett Peak
KPR  C434000.0N 401200.0E  450.0Krasnaya Polyana
KPT   555758.0N1601319.0E 1004.0Kopyto
KPTM R305306.4S1502854.8E  295.0Keepit Bedrock
KR-                             (Alternate Abbreviation for KR-OR)
KR-ORC432503.0N1183044.0W 1402.0Crane
KRA  C500322.0N 195623.0E  223.0Krakow
KRAM C314210.8N  92024.0W    0.0Krabesse
KRAR  560040.0N 925224.0E  200.0Krasnoyarsk
KRB  C163136.0S 284742.0E  805.0Kariba
KRBA R295846.8N 564508.4E    0.0Kerman
KRC  C351936.0N1194442.0W  680.0King Ranch
KRCT C410453.0N 325245.0E 1449.0Kira\c ctepe
KRD  C432300.0N 750300.0E  900.0Kurday
KRE  C341400.0N1323400.0E    0.0Kure
KRF   400046.8N 530010.8E   10.0T\"urkmenbashy (Krasnovodsk)
KRG  C 75735.0S1454608.0E   14.0Kerema
KRH  C362931.9N 362047.8E  220.0K\i r\i khan
KRI   164945.5S 293653.1E 1343.0Karoi
KRIS  351040.8N 253010.8E    0.0Kristallenia
KRIT  362018.0N  90429.4E  640.0Krib
KRJ   362459.2N1380905.2E  621.0Kamimuroga
KRK  C694327.0N 300345.0E   25.0Kirkenes
KRKI R     0.0N      0.0E    0.0
KRKL  105400.0N 795200.0E    0.0K\=araik\=al
KRKM  393346.2N1231055.8W 1280.0Rackout Springs
KRL   490039.0N  82444.0E  114.0Karlsruhe
KRM   425913.2N 781630.0E 2151.0Kurmenty
KRMB  413122.8N1235428.8W 1265.0Red Mountain
KRMM C413119.4N1235422.6W 1247.0Red Mountain
KRN   543546.0N1610802.0E   50.0Kronoki
KRNA C374430.1N1162249.1W 1980.0Kawich Range
KRNR  424937.0N 465425.0E 1150.0Karanay
KRO   171850.6S1792329.7E  522.0Koro
KROI R     0.0N      0.0E    0.0
KROS  542558.8N1265815.6E  455.0Kirovskiy
